soc_code,occupation_title,aioe_score,ilo_score,gpts_are_gpts_score,gpts_are_gpts_human_score,composite_exposure_score,impact_pattern,job_zone,anthropic_1p_automation_share,anthropic_1p_augmentation_share,employment_growth_rate,skill__active_learning,skill__active_listening,skill__critical_thinking,skill__learning_strategies,skill__mathematics,skill__monitoring,skill__reading_comprehension,skill__science,skill__speaking,skill__writing,ilo_task_mean,ilo_task_std,tot_emp_2023,tot_emp_2024,tot_emp_2025
11-1011,Chief Executives,1.334246,0.33,0.5077777777777778,0.36944444444444435,0.8134776415596218,Automation,5.0,98.39,1.6099999999999999,-0.016420379935945584,3.75,4.0,4.25,3.25,3.065,3.875,4.0600000000000005,1.87,4.125,4.12,0.33,0.08,211230.0,211850.0,204350.0
11-1021,General and Operations Managers,0.5748773,0.4014285714285714,0.4807692307692308,0.3846153846153846,0.6968768154925531,Transformation,4.0,97.19,2.81,-0.0006829954206237776,3.62,4.0,3.88,3.0,2.62,4.0,4.0,1.5,4.0,3.5,0.4014285714285714,0.09428571428571429,3507810.0,3584420.0,3503020.0
11-1031,Legislators,,0.27,0.4,0.5166666666666666,0.08498793145799872,Augmentation,4.0,95.94999999999999,4.05,,,,,,,,,,,,0.27,0.07,32460.0,26510.0,
11-2011,Advertising and Promotions Managers,1.294387,0.39,0.4767441860465116,0.5465116279069767,0.9022418356962949,Automation,4.0,91.19999999999999,8.8,0.020155577273377467,3.38,4.12,3.88,3.0,2.88,3.5,3.75,1.5,4.12,3.75,0.39,0.05,20630.0,21100.0,21470.0
11-2021,Marketing Managers,1.315032,0.41,0.5,0.578125,0.9939772356901972,Transformation,4.0,94.365,5.635,0.03502913188153478,3.88,4.12,3.88,3.25,3.0,3.88,3.88,1.75,4.0,3.25,0.41,0.09,368940.0,384980.0,395240.0
11-2022,Sales Managers,1.26628,0.41,0.45,0.4833333333333333,0.9020772095494881,Transformation,4.0,96.105,3.895,0.05179472333206392,3.75,4.0,3.88,3.12,3.0,3.88,3.88,1.62,4.0,3.62,0.41,0.09,575880.0,603710.0,637080.0
11-2031,Public Relations Managers,1.293689,,,,1.2936890079345753,,,,,,,,,,,,,,,,,,,,
11-2032,Public Relations Managers,,0.3933333333333333,0.55,0.5750000000000001,0.8848389078305903,Automation,4.0,87.53999999999999,12.46,0.01426060454980016,3.62,4.12,3.88,3.0,2.38,3.5,4.12,1.12,4.25,4.0,0.3933333333333333,0.07,72760.0,76060.0,74850.0
11-2033,Fundraising Managers,,0.3933333333333333,0.5625,0.5,0.9132074176282357,Automation,4.0,72.88499999999999,27.115000000000002,0.10456171669094694,3.38,4.0,4.12,2.62,3.0,3.12,3.88,1.25,4.12,3.88,0.3933333333333333,0.07,31810.0,36920.0,38810.0
11-3011,Administrative Services Managers,0.7398278,,,,0.7398278074691901,,,,,,,,,,,,,,,,,,,,
11-3012,Administrative Services Managers,,0.42,0.3913043478260869,0.5,0.6240181442178925,Transformation,3.0,97.07,2.9299999999999997,0.04326654311992706,3.12,4.0,3.75,3.0,2.25,3.38,4.0,1.0,3.88,3.75,0.42,0.1,242520.0,254140.0,263960.0
11-3013,Facilities Managers,,0.42,0.40016233766233766,0.4042207792207792,0.6441211819344623,Transformation,3.5,97.6925,2.3075,0.09022221353531634,3.37,3.935,4.0,3.19,2.625,3.875,3.935,1.44,3.94,3.5,0.42,0.1,131400.0,141090.0,156180.0
11-3021,Computer and Information Systems Managers,1.059853,0.44,0.5303030303030303,0.5606060606060607,1.029267642697558,Automation,4.0,93.82,6.18,0.06375407418297141,3.38,4.0,4.12,3.25,3.12,3.88,4.0,1.75,3.88,3.75,0.44,0.07,592600.0,645970.0,670570.0
11-3031,Financial Managers,1.446232,0.42,0.4850552306692657,0.4541306971131532,1.0399333168848253,Automation,4.333333333333333,94.84166666666665,5.158333333333332,0.0339513045228339,3.7099999999999995,4.0,4.0,2.9599999999999995,3.6266666666666665,3.7099999999999995,4.0,1.0833333333333333,3.9599999999999995,3.6633333333333336,0.42,0.08,787340.0,818620.0,841710.0
11-3051,Industrial Production Managers,0.5086878,0.38,0.40571870150289957,0.3296039063138119,0.5080474615535268,Transformation,3.6666666666666665,96.44500000000001,3.5549999999999997,0.05109707486621762,3.455,3.855,3.8966666666666665,3.3533333333333335,3.1666666666666665,3.8783333333333334,3.9,2.5,3.9166666666666665,3.5,0.38,0.11,222890.0,234380.0,246250.0
